"University","Program","Course","Title","Credits","Bulletin"
"Virginia Commonwealth University","Anthropology","ANTH103","Introduction to Anthropology","3","3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. A general survey of anthropology with emphasis on learning about and from global cultures, and on the four fields of anthropology."
"Virginia Commonwealth University","Anthropology","ANTH105","Introduction to Archaeology","3","3 lecture hours. 3 credits. A survey of archaeological sites, methods and theories from around the world, from the earliest human cultures, to the rise and spread of civilizations, to the modern era. Crosslisted as: INTL 104."
"Virginia Commonwealth University","Anthropology","ANTH302","Archaeological Theory","3","3 lecture hours. 3 credits. Prerequisites: ANTH 105/ INTL 104 and UNIV 200 or HONR 200 with a minimum grade of C. Covers the basic theoretical perspectives and tools of archaeology, including analysis and interpretation of archaeological materials. Students will review the intellectual history of archaeology, applying a variety of theoretical approaches to archaeological data sets and sites."
"Virginia Commonwealth University","Anthropology","ANTH399","Junior Seminar","1","1 lecture hour. 1 credit. Prerequisites: ANTH 210, 220 or 230; and junior standing. Focuses on self-assessment, compilation of a portfolio and curriculum vitae, career and graduate school preparation, and lifelong application of skills and knowledge acquired in the program. Students will critically assess their experience in the anthropology program."
"Virginia Commonwealth University","Anthropology","ANTH454","Theory in Cultural Anthropology","3","3 lecture hours. 3 credits. Prerequisites: ANTH 220 or ANTH 230, and at least one 3-credit 300-level ANTH course . A study of the connections between theoretical work that addresses understandings of culture and methodological practice centered on creating ethnography."
"Virginia Commonwealth University","Anthropology","ANTH490","Anthropology Senior Capstone","3","3 lecture hours. 3 credits. Prerequisites: completion of 15 credits in anthropology at the 300 and 400 level or the equivalent; senior standing. Open only to anthropology majors. Explores current research that transects more than one subfield of anthropology. Research foci will be at the discretion of the instructor, but students will explore how the anthropological subfields influence and speak to each other in new translational research, and will assess the emerging literature and scientific questions with a critical and scientific perspective. ANTH 491. Advanced Topics in Anthropology. 1-3 Hours. Semester course; variable hours. 1-3 credits. Maximum 6 credits per semester with different topics.Prerequisites: ANTH/INTL 103; ANTH 210, 220, or 230; and UNIV 200 or HONR 200. Seminar on current specialized areas of anthropological interest. See the Schedule of Classes for specific topics to be offered each semester. A maximum total of 18 credits in departmental topics courses (including ANTH 391 and 491) may be applied to the major. ANTH 492. Independent Study. 1-6 Hours. Semester course; variable hours. Variable credit. Maximum of 6 credits per semester; maximum total of 12 credits for all independent study and internship courses. Prerequisites: determination of the amount of credit and permission of the instructor and the group coordinator must be procured prior to enrollment in the course; a minimum GPA of 3.0 in the major. Generally open only to students of junior or senior standing who have acquired at least 12 credits in the anthropology program. ANTH 493. Anthropology Internship. 1-3 Hours. Semester course; variable hours. 1-3 credits (40 clock hours per credit). May be repeated for a maximum of 6 credits for majors and 3 credits for minors. Prerequisites: completion of 9 credits in anthropology courses at the 300 level or above, and permission of the internship coordinator. Student must be in good academic standing with a minimum major GPA of 2.25. Designed for the advanced student to gain workplace experience in a local, national or international business or agency offering opportunities in anthropological field methods or research."
"Virginia Commonwealth University","Anthropology","BIOL101","Biological Concepts","3","3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. A topical approach to basic biological principles. Topics include molecular aspects of cells, bioenergetics, photosynthesis, cellular respiration, cellular and organismal reproduction, genetics and evolution, and ecology. Not applicable for credit toward the major in biology. "
"Virginia Commonwealth University","Anthropology","BIOL341","Human Evolution","4","3 lecture and 2 laboratory hours. 4 credits. Prerequisite: UNIV 200 or HONR 200 with a minimum grade of C. Introduces the range of human diversity as well as a broad understanding of evolution and evolutionary biology, particularly as it applies to hominid evolution. Specific topics include basic genetics, primatology, paleontology and the hominin fossil record. Crosslisted as: ANTH 301."
"Virginia Commonwealth University","Anthropology","HUMS202","Choices in a Consumer Society","1","1 lecture hour (delivered online). 1 credit. Corequisite: UNIV 111 or UNIV 112. Provides a framework for understanding the nature of choices made in a consumer society, with an emphasis on the financial consequences of those choices. Students will gain the practical knowledge needed to make informed personal financial decisions as they address immediate, short-term and long-term consumer choices. Administered primarily as a self-paced, computer-aided instructional course. HUMS 291. Special Topics in the Humanities and Sciences. 1-4 Hours. Semester course; 1-4 credits. May be repeated with different content. Specialized topics in the liberal arts and sciences designed to provide an overview of a topic not provided by an existing course or program. May be multidisciplinary. Graded as pass/fail or normal letter grading at the option of the instructor."
"Virginia Commonwealth University","Anthropology","MATH131","Introduction to Contemporary Mathematics","3","3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Topics include optimization problems, data handling, growth and symmetry, and mathematics with applications in areas of social choice. Major emphasis is on the process of taking a real-world situation, converting the situation to an abstract modeling problem, solving the problem and applying what is learned to the original situation. Does not serve as a prerequisite for MATH 151 or other advanced mathematical sciences courses."
"Virginia Commonwealth University","Anthropology","STAT210","Basic Practice of Statistics","3","3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite: satisfactory score on the VCU Mathematics Placement Test within the one-year period immediately preceding the beginning of the course, or MATH 131, MATH 139, MATH 141, MATH 151, MATH 200 or MATH 201. Designed for students who will likely take another quantitative reasoning course for which statistics may be a prerequisite. Not open to mathematical sciences or computer science majors. Topics include examining distributions, examining relationships, producing data, sampling distributions and probability, introduction to inference. Students may receive credit toward graduation for only one of STAT 206, STAT 208, STAT 210, STAT 212, STAT 312 or SCMA 301."
"Virginia Commonwealth University","Anthropology","WRLD495","World ePass Portfolio","0","variable independent study hours (delivered online). 0 credits. Corequisite: WRLD 490, INTL 490, ANTH 490 or RELS 490. Enrollment is restricted to students with senior standing (90 credits earned) majoring in anthropology, international studies, foreign language or religious studies in the School of World Studies. Students create a personalized online portfolio, highlighting academic and experiential learning achievements and articulate post-graduation goals."
"Virginia Commonwealth University","Biology","BIOL151","Introduction to Biological Sciences I","3","3 lecture hours. 3 credits. Prerequisites: MATH 139, MATH 141, MATH 151, MATH 200, MATH 201 or a satisfactory score on the math placement exam; and CHEM 100 with a minimum grade of B, CHEM 101 with a minimum grade of C or a satisfactory score on the chemistry placement exam. Introduction to core biological concepts including cell structure, cellular metabolism, cell division, DNA replication, gene expression and genetics. Designed for biology majors."
"Virginia Commonwealth University","Biology","BIOL152","Introduction to Biological Sciences II","3","3 lecture hours. 3 credits. Prerequisites: BIOL 151 and CHEM 101, both with a minimum grade of C. Focuses on evolutionary principles, the role of natural selection in the evolution of life forms, taxonomy and phylogenies, biological diversity in the context of form and function of organisms, and and basic principles of ecology. Designed for biology majors."
"Virginia Commonwealth University","Biology","BIOL200","Quantitative Biology","3","3 lecture hours (delivered online or hybrid). 3 credits. Prerequisites: BIOL 151 and BIOZ 151 with minimum grades of C; and MATH 151, MATH 200, MATH 201, STAT 210 or satisfactory score on the VCU Mathematics Placement Test within a one-year period immediately preceding the beginning of the course. Enrollment is restricted to biology majors and biology minors. An introduction to the application of the scientific method, experimental design and quantitative aspects of biology."
"Virginia Commonwealth University","Biology","BIOL300","Cellular and Molecular Biology","3","3 lecture hours. 3 credits. Prerequisites: BIOL 151 and 152; BIOZ 151 or LFSC/BNFO 251; BIOZ 152 or LFSC/BNFO 252; CHEM 101 and CHEZ 101, all with a minimum grade of C; BIOL 200, MATH 200, MATH 201, STAT 210, STAT 212 or STAT 314. Biology majors must have completed BIOL 200. Pre- or corequisites: CHEM 102 and CHEZ 102. A study of the molecular biology of the cell as it relates to gene expression, cell signaling, and cell growth and differentiation."
"Virginia Commonwealth University","Biology","BIOL310","Genetics","3","3 lecture hours. 3 credits. Prerequisites: BIOL 151 and 152; BIOZ 151 or LFSC/BNFO 251; BIOZ 152 or LFSC/BNFO 252; BIOL 300; CHEM 101; and CHEZ 101, each with a minimum grade of C; and BIOL 200, MATH 200, MATH 201, STAT 210, STAT 212 or STAT 314. Biology majors must have completed BIOL 200. Pre- or corequisites: CHEM 102 and CHEZ 102. The basic principles of molecular and applied genetics of plants, animals and microorganisms."
